"method_id","method_header","method_qualified_name","method_start_line","method_end_line"
"GS-000045","JsonWriter beginArray()","com.google.gson.internal.bind.JsonTreeWriter.beginArray()Lcom/google/gson/stream/JsonWriter;","94","99"
"GS-000046","void testContainsNullKeyIsAlwaysFalse()","com.google.gson.internal.LinkedTreeMapTest.testContainsNullKeyIsAlwaysFalse()V","76","80"
"GS-000047","boolean containsKey(Object key)","com.google.gson.internal.LinkedTreeMap.containsKey(Ljava/lang/Object;)Z","86","88"
"GS-000048","Node<K, V> findByObject(Object key)","com.google.gson.internal.LinkedTreeMap.findByObject(Ljava/lang/Object;)Lcom/google/gson/internal/LinkedTreeMap$Node;","183","190"
"GS-000049","void testNullName()","com.google.gson.stream.JsonWriterTest.testNullName()V","141","150"
"GS-000050","JsonWriter name(String name)","com.google.gson.stream.JsonWriter.name(Ljava/lang/String;)Lcom/google/gson/stream/JsonWriter;","385","397"
"GS-000051","JsonWriter beginObject()","com.google.gson.stream.JsonWriter.beginObject()Lcom/google/gson/stream/JsonWriter;","306","309"
"GS-000052","void testNulls()","com.google.gson.stream.JsonReaderTest.testNulls()V","192","198"
"GS-000053","JsonReader(Reader in)","com.google.gson.stream.JsonReader.<init>(Ljava/io/Reader;)V","289","294"
"GS-000054","void testNoSideEffectForHasNext()","com.google.gson.JsonStreamParserTest.testNoSideEffectForHasNext()V","51","63"
"GS-000055","boolean hasNext()","com.google.gson.JsonStreamParser.hasNext()Z","102","112"
"GS-000056","JsonToken peek()","com.google.gson.stream.JsonReader.peek()Lcom/google/gson/stream/JsonToken;","422","459"
"GS-000057","int doPeek()","com.google.gson.stream.JsonReader.doPeek()I","461","595"
"GS-000058","void setUp()","com.google.gson.JsonStreamParserTest.setUp()V","30","34"
"GS-000059","void testName()","com.google.gson.FieldAttributesTest.testName()V","68","70"
"GS-000060","FieldAttributes(Field f)","com.google.gson.FieldAttributes.<init>(Ljava/lang/reflect/Field;)V","44","47"
"GS-000061","void testOverridesDefaultExcluder()","com.google.gson.GsonTest.testOverridesDefaultExcluder()V","43","53"
"GS-000062","Gson(Excluder excluder, FieldNamingStrategy fieldNamingStrategy, Map<Type, InstanceCreator<?>> instanceCreators, boolean serializeNulls, boolean complexMapKeySerialization, boolean generateNonExecutableGson, boolean htmlSafe, boolean prettyPrinting, boolean lenient, boolean serializeSpecialFloatingPointValues, LongSerializationPolicy longSerializationPolicy, List<TypeAdapterFactory> typeAdapterFactories)","com.google.gson.Gson.<init>(Lcom/google/gson/internal/Excluder;Lcom/google/gson/FieldNamingStrategy;Ljava/util/Map;ZZZZZZZLcom/google/gson/LongSerializationPolicy;Ljava/util/List;)V","181","256"
"GS-000063","Excluder excluder()","com.google.gson.Gson.excluder()Lcom/google/gson/internal/Excluder;","258","260"
"GS-000064","FieldNamingStrategy fieldNamingStrategy()","com.google.gson.Gson.fieldNamingStrategy()Lcom/google/gson/FieldNamingStrategy;","262","264"
"GS-000065","boolean serializeNulls()","com.google.gson.Gson.serializeNulls()Z","266","268"
"GS-000066","boolean htmlSafe()","com.google.gson.Gson.htmlSafe()Z","270","272"
"GS-000067","void testIsSynthetic()","com.google.gson.FieldAttributesTest.testIsSynthetic()V","64","66"
"GS-000068","boolean isSynthetic()","com.google.gson.FieldAttributes.isSynthetic()Z","154","156"
"GS-000069","void testOverrideStringAdapter()","com.google.gson.OverrideCoreTypeAdaptersTest.testOverrideStringAdapter()V","70","76"
"GS-000070","GsonBuilder registerTypeAdapter(Type type, Object typeAdapter)","com.google.gson.GsonBuilder.registerTypeAdapter(Ljava/lang/reflect/Type;Ljava/lang/Object;)Lcom/google/gson/GsonBuilder;","470","487"
"GS-000071","void checkArgument(boolean condition)","com.google.gson.internal.$Gson$Preconditions.checkArgument(Z)V","44","48"
"GS-000072","TypeToken<?> get(Type type)","com.google.gson.reflect.TypeToken.get(Ljava/lang/reflect/Type;)Lcom/google/gson/reflect/TypeToken;","295","297"
"GS-000073","TypeAdapterFactory newFactoryWithMatchRawType(TypeToken<?> exactType, Object typeAdapter)","com.google.gson.internal.bind.TreeTypeAdapter.newFactoryWithMatchRawType(Lcom/google/gson/reflect/TypeToken;Ljava/lang/Object;)Lcom/google/gson/TypeAdapterFactory;","103","108"
"GS-000074","TypeAdapterFactory newFactory(TypeToken<?> exactType, Object typeAdapter)","com.google.gson.internal.bind.TreeTypeAdapter.newFactory(Lcom/google/gson/reflect/TypeToken;Ljava/lang/Object;)Lcom/google/gson/TypeAdapterFactory;","95","97"
"GS-000075","void testIsAssignableFromRawTypes()","com.google.gson.reflect.TypeTokenTest.testIsAssignableFromRawTypes()V","40","45"
"GS-000076","boolean isAssignableFrom(Class<?> cls)","com.google.gson.reflect.TypeToken.isAssignableFrom(Ljava/lang/Class;)Z","110","113"
"GS-000077","boolean isAssignableFrom(Type from)","com.google.gson.reflect.TypeToken.isAssignableFrom(Ljava/lang/reflect/Type;)Z","121","143"
"GS-000078","<T extends Object> TypeToken<T> get(Class<T> type)","com.google.gson.reflect.TypeToken.get(Ljava/lang/Class;)Lcom/google/gson/reflect/TypeToken;","302","304"
"GS-000079","void testNullSafeBugSerialize()","com.google.gson.regression.JsonAdapterNullSafeTest.testNullSafeBugSerialize()V","29","32"
"GS-000080","void testFirstNameIsChosenForSerialization()","com.google.gson.functional.SerializedNameTest.testFirstNameIsChosenForSerialization()V","26","30"
"GS-000081","void testMultipleNamesDeserializedCorrectly()","com.google.gson.functional.SerializedNameTest.testMultipleNamesDeserializedCorrectly()V","32","39"
"GS-000082","<T extends Object> Class<T> wrap(Class<T> type)","com.google.gson.internal.Primitives.wrap(Ljava/lang/Class;)Ljava/lang/Class;","95","101"
"GS-000083","void testDirectedAcyclicGraphSerialization()","com.google.gson.functional.CircularReferenceTest.testDirectedAcyclicGraphSerialization()V","97","105"
"GS-000084","void setUp()","com.google.gson.functional.CircularReferenceTest.setUp()V","41","45"
"GS-000085","void testNullExposeFieldSerialization()","com.google.gson.functional.ExposeFieldsTest.testNullExposeFieldSerialization()V","46","51"
"GS-000086","String getExpectedJson()","com.google.gson.functional.ExposeFieldsTest$ClassWithExposedFields.getExpectedJson()Ljava/lang/String;","131","139"
"GS-000087","void setUp()","com.google.gson.functional.ExposeFieldsTest.setUp()V","37","44"
"GS-000088","void testMapSerializationEmpty()","com.google.gson.functional.MapTest.testMapSerializationEmpty()V","91","96"
"GS-000089","void toJson(Object src, Type typeOfSrc, Appendable writer)","com.google.gson.Gson.toJson(Ljava/lang/Object;Ljava/lang/reflect/Type;Ljava/lang/Appendable;)V","645","652"
"GS-000090","Type getType()","com.google.gson.reflect.TypeToken.getType()Ljava/lang/reflect/Type;","100","102"
"GS-000091","void setUp()","com.google.gson.functional.MapTest.setUp()V","57","61"
"GS-000092","void testToJsonTree()","com.google.gson.functional.JsonTreeTest.testToJsonTree()V","29","40"
"GS-000093","JsonElement toJsonTree(Object src)","com.google.gson.Gson.toJsonTree(Ljava/lang/Object;)Lcom/google/gson/JsonElement;","537","542"
"GS-000094","JsonElement toJsonTree(Object src, Type typeOfSrc)","com.google.gson.Gson.toJsonTree(Ljava/lang/Object;Ljava/lang/reflect/Type;)Lcom/google/gson/JsonElement;","560","564"
"GS-000095","boolean isJsonObject()","com.google.gson.JsonElement.isJsonObject()Z","54","56"
"GS-000096","JsonObject getAsJsonObject()","com.google.gson.JsonElement.getAsJsonObject()Lcom/google/gson/JsonObject;","86","91"
"GS-000097","Set<Entry<String, JsonElement>> entrySet()","com.google.gson.JsonObject.entrySet()Ljava/util/Set;","131","133"
"GS-000098","void setUp()","com.google.gson.functional.JsonTreeTest.setUp()V","23","27"
"GS-000099","void testHashCode()","com.google.gson.internal.LazilyParsedNumberTest.testHashCode()V","21","25"
"GS-000100","int hashCode()","com.google.gson.internal.LazilyParsedNumber.hashCode()I","80","83"
"GS-000101","void testEquals()","com.google.gson.internal.LazilyParsedNumberTest.testEquals()V","27","31"
"GS-000102","boolean equals(Object obj)","com.google.gson.internal.LazilyParsedNumber.equals(Ljava/lang/Object;)Z","85","95"
"GS-000103","void testStringValueDeserialization()","com.google.gson.functional.StringTest.testStringValueDeserialization()V","27","31"
"GS-000104","void testEscapedCtrlNInStringDeserialization()","com.google.gson.functional.StringTest.testEscapedCtrlNInStringDeserialization()V","45","49"
"GS-000105","void testEscapedCtrlNInStringSerialization()","com.google.gson.functional.StringTest.testEscapedCtrlNInStringSerialization()V","39","43"
"GS-000106","void testEscapedCtrlRInStringSerialization()","com.google.gson.functional.StringTest.testEscapedCtrlRInStringSerialization()V","51","55"
"GS-000107","void testEscapedCtrlRInStringDeserialization()","com.google.gson.functional.StringTest.testEscapedCtrlRInStringDeserialization()V","57","61"
"GS-000108","void testEscapedBackslashInStringSerialization()","com.google.gson.functional.StringTest.testEscapedBackslashInStringSerialization()V","63","67"
"GS-000109","void testEscapedBackslashInStringDeserialization()","com.google.gson.functional.StringTest.testEscapedBackslashInStringDeserialization()V","69","72"
"GS-000110","void testSingleQuoteInStringDeserialization()","com.google.gson.functional.StringTest.testSingleQuoteInStringDeserialization()V","74","78"
"GS-000111","void testEscapingQuotesInStringSerialization()","com.google.gson.functional.StringTest.testEscapingQuotesInStringSerialization()V","80","85"
"GS-000112","void testEscapingQuotesInStringDeserialization()","com.google.gson.functional.StringTest.testEscapingQuotesInStringDeserialization()V","87","92"
"GS-000113","void testStringValueAsSingleElementArraySerialization()","com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization()V","94","98"
"GS-000114","void testStringWithEscapedSlashDeserialization()","com.google.gson.functional.StringTest.testStringWithEscapedSlashDeserialization()V","100","105"
"GS-000115","void testAssignmentCharSerialization()","com.google.gson.functional.StringTest.testAssignmentCharSerialization()V","110","114"
"GS-000116","void testAssignmentCharDeserialization()","com.google.gson.functional.StringTest.testAssignmentCharDeserialization()V","119","127"
"GS-000117","void testJavascriptKeywordsInStringSerialization()","com.google.gson.functional.StringTest.testJavascriptKeywordsInStringSerialization()V","129","133"
"GS-000118","void testJavascriptKeywordsInStringDeserialization()","com.google.gson.functional.StringTest.testJavascriptKeywordsInStringDeserialization()V","135","139"
"GS-000119","void testOurTypeFunctionality()","com.google.gson.GenericArrayTypeTest.testOurTypeFunctionality()V","43","50"
"GS-000120","void setUp()","com.google.gson.GenericArrayTypeTest.setUp()V","37","41"
"GS-000121","void testNotEquals()","com.google.gson.GenericArrayTypeTest.testNotEquals()V","52","56"
"GS-000122","void testEmptyMapNoTypeSerialization()","com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapNoTypeSerialization()V","34","40"
"GS-000123","void toJson(Object src, Type typeOfSrc, JsonWriter writer)","com.google.gson.Gson.toJson(Ljava/lang/Object;Ljava/lang/reflect/Type;Lcom/google/gson/stream/JsonWriter;)V","659","677"
"GS-000124","JsonElement get()","com.google.gson.internal.bind.JsonTreeWriter.get()Lcom/google/gson/JsonElement;","64","69"
"GS-000125","void testEmptyMapSerialization()","com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization()V","42","50"
"GS-000126","void testNonEmptyMapSerialization()","com.google.gson.DefaultMapJsonSerializerTest.testNonEmptyMapSerialization()V","52","63"
"GS-000127","void testParseComments()","com.google.gson.CommentsTest.testParseComments()V","32","44"
"GS-000128","<T extends Object> T fromJson(Reader json, Type typeOfT)","com.google.gson.Gson.fromJson(Ljava/io/Reader;Ljava/lang/reflect/Type;)Ljava/lang/Object;","849","855"
"GS-000129","void testDeclaringClass()","com.google.gson.FieldAttributesTest.testDeclaringClass()V","49","51"
"GS-000130","Class<?> getDeclaringClass()","com.google.gson.FieldAttributes.getDeclaringClass()Ljava/lang/Class;","52","54"
