test_case_id;method_id;method_role
JT-000074;JT-000070;contextual
JT-000074;JT-000071;contextual
JT-000074;JT-000068;contextual
JT-000074;JT-000027;contextual
JT-000074;JT-000029;contextual
JT-000074;JT-000072;helper
JT-000074;JT-000073;helper
JT-000075;JT-000076;focal
JT-000075;JT-000077;contextual
JT-000075;JT-000078;contextual
JT-000079;JT-000080;focal
JT-000079;JT-000081;contextual
JT-000079;JT-000077;contextual
JT-000079;JT-000082;contextual
JT-000079;JT-000025;contextual
JT-000083;JT-000084;focal
JT-000083;JT-000085;contextual
JT-000083;JT-000086;contextual
JT-000083;JT-000087;contextual
JT-000088;JT-000089;focal
JT-000088;JT-000090;contextual
JT-000088;JT-000091;helper
JT-000088;JT-000092;helper
JT-000093;JT-000094;focal
JT-000093;JT-000095;contextual
JT-000093;JT-000096;contextual
JT-000093;JT-000091;helper
JT-000093;JT-000092;helper
JT-000097;JT-000098;focal
JT-000097;JT-000099;helper
JT-000097;JT-000100;helper
JT-000101;JT-000102;focal
JT-000101;JT-000103;contextual
JT-000101;JT-000104;contextual
JT-000101;JT-000105;contextual
JT-000101;JT-000106;helper
JT-000101;JT-000107;helper
JT-000101;JT-000108;helper
JT-000101;JT-000109;helper
JT-000101;JT-000110;helper
JT-000111;JT-000112;focal
JT-000111;JT-000113;contextual
JT-000111;JT-000114;contextual
JT-000111;JT-000115;contextual
JT-000111;JT-000116;contextual
JT-000111;JT-000029;contextual
JT-000111;JT-000103;contextual
JT-000111;JT-000104;contextual
JT-000111;JT-000106;helper
JT-000111;JT-000107;helper
JT-000117;JT-000118;focal
JT-000117;JT-000119;contextual
JT-000117;JT-000120;contextual
JT-000117;JT-000121;contextual
JT-000117;JT-000122;contextual
JT-000117;JT-000123;contextual
JT-000117;JT-000124;helper
JT-000117;JT-000125;helper
JT-000126;JT-000127;focal
JT-000126;JT-000128;contextual
JT-000126;JT-000119;contextual
JT-000126;JT-000129;contextual
JT-000126;JT-000122;contextual
JT-000126;JT-000130;contextual
JT-000126;JT-000131;contextual
JT-000126;JT-000132;contextual
JT-000126;JT-000124;helper
JT-000126;JT-000125;helper
JT-000126;JT-000133;helper
JT-000134;JT-000135;focal
JT-000134;JT-000136;contextual
JT-000134;JT-000029;contextual
JT-000134;JT-000119;contextual
JT-000134;JT-000137;contextual
JT-000134;JT-000138;contextual
JT-000134;JT-000139;contextual
JT-000134;JT-000140;contextual
JT-000134;JT-000061;contextual
JT-000134;JT-000141;contextual
JT-000134;JT-000142;helper
JT-000134;JT-000143;helper
JT-000144;JT-000145;focal
JT-000144;JT-000119;contextual
JT-000144;JT-000137;contextual
JT-000144;JT-000138;contextual
JT-000144;JT-000139;contextual
JT-000144;JT-000146;contextual
JT-000144;JT-000147;contextual
JT-000144;JT-000148;contextual
JT-000144;JT-000149;contextual
JT-000144;JT-000026;contextual
JT-000144;JT-000150;helper
JT-000144;JT-000151;helper
JT-000152;JT-000153;focal
JT-000152;JT-000154;contextual
JT-000152;JT-000155;contextual
JT-000152;JT-000121;contextual
JT-000152;JT-000156;contextual
JT-000152;JT-000157;contextual
JT-000152;JT-000158;helper
JT-000152;JT-000159;helper
JT-000160;JT-000161;focal
JT-000160;JT-000154;contextual
JT-000160;JT-000162;contextual
JT-000160;JT-000163;contextual
JT-000160;JT-000164;contextual
JT-000160;JT-000165;contextual
JT-000160;JT-000166;helper
JT-000160;JT-000167;helper
JT-000168;JT-000161;focal
JT-000168;JT-000162;contextual
JT-000168;JT-000163;contextual
JT-000168;JT-000164;contextual
JT-000168;JT-000165;contextual
JT-000168;JT-000166;helper
JT-000168;JT-000167;helper
JT-000169;JT-000161;focal
JT-000169;JT-000154;contextual
JT-000169;JT-000162;contextual
JT-000169;JT-000163;contextual
JT-000169;JT-000164;contextual
JT-000169;JT-000165;contextual
JT-000169;JT-000166;helper
JT-000169;JT-000167;helper
JT-000170;JT-000171;focal
JT-000170;JT-000172;contextual
JT-000170;JT-000095;contextual
JT-000170;JT-000166;helper
JT-000170;JT-000167;helper
JT-000173;JT-000174;focal
JT-000173;JT-000175;focal
JT-000173;JT-000176;focal
JT-000173;JT-000177;focal
JT-000173;JT-000178;contextual
JT-000173;JT-000179;contextual
JT-000173;JT-000180;contextual
JT-000173;JT-000181;contextual
JT-000173;JT-000182;contextual
JT-000173;JT-000183;contextual
JT-000173;JT-000184;contextual
JT-000173;JT-000185;helper
JT-000173;JT-000186;helper
JT-000187;JT-000188;focal
JT-000187;JT-000029;contextual
JT-000187;JT-000077;contextual
JT-000187;JT-000189;helper
JT-000187;JT-000190;helper
JT-000191;JT-000192;focal
JT-000191;JT-000095;contextual
JT-000191;JT-000193;contextual
JT-000191;JT-000194;contextual
JT-000191;JT-000195;helper
JT-000191;JT-000196;helper
JT-000197;JT-000198;focal
JT-000197;JT-000070;contextual
JT-000197;JT-000199;contextual
JT-000197;JT-000200;contextual
JT-000197;JT-000201;contextual
JT-000197;JT-000202;contextual
JT-000197;JT-000203;helper
JT-000197;JT-000204;helper
JT-000205;JT-000206;focal
JT-000205;JT-000081;contextual
JT-000205;JT-000207;contextual
JT-000205;JT-000077;contextual
JT-000205;JT-000208;contextual
JT-000205;JT-000027;contextual
JT-000205;JT-000209;contextual
JT-000205;JT-000210;contextual
JT-000205;JT-000029;contextual
JT-000205;JT-000211;helper
JT-000205;JT-000212;helper
JT-000213;JT-000214;focal
JT-000213;JT-000029;contextual
JT-000213;JT-000026;contextual
JT-000213;JT-000027;contextual
JT-000213;JT-000128;contextual
JT-000213;JT-000215;contextual
JT-000213;JT-000216;contextual
JT-000213;JT-000129;contextual
JT-000213;JT-000217;helper
JT-000213;JT-000218;helper
JT-000219;JT-000220;focal
JT-000219;JT-000221;focal
JT-000219;JT-000222;contextual
JT-000219;JT-000223;contextual
JT-000219;JT-000224;contextual
JT-000219;JT-000225;contextual
JT-000219;JT-000226;contextual
JT-000219;JT-000227;helper
JT-000219;JT-000228;helper
JT-000229;JT-000230;focal
JT-000229;JT-000066;contextual
JT-000229;JT-000231;contextual
JT-000229;JT-000232;contextual
JT-000229;JT-000077;contextual
JT-000229;JT-000103;contextual
JT-000229;JT-000104;contextual
JT-000229;JT-000105;contextual
JT-000229;JT-000233;helper
JT-000229;JT-000234;helper
JT-000229;JT-000235;helper
JT-000229;JT-000236;helper
JT-000229;JT-000237;helper
JT-000238;JT-000239;focal
JT-000238;JT-000240;contextual
JT-000238;JT-000085;contextual
JT-000238;JT-000241;contextual
JT-000238;JT-000242;contextual
JT-000238;JT-000243;contextual
JT-000238;JT-000244;contextual
JT-000238;JT-000245;contextual
JT-000238;JT-000246;contextual
JT-000238;JT-000247;contextual
JT-000238;JT-000248;contextual
JT-000238;JT-000249;contextual
JT-000238;JT-000250;helper
JT-000238;JT-000251;helper
JT-000252;JT-000253;focal
JT-000252;JT-000254;contextual
JT-000252;JT-000255;contextual
JT-000252;JT-000241;contextual
JT-000252;JT-000242;contextual
JT-000252;JT-000243;contextual
JT-000252;JT-000244;contextual
JT-000252;JT-000245;contextual
JT-000252;JT-000246;contextual
JT-000252;JT-000247;contextual
JT-000252;JT-000248;contextual
JT-000252;JT-000249;contextual
JT-000252;JT-000256;helper
JT-000252;JT-000257;helper
JT-000258;JT-000259;focal
JT-000258;JT-000254;contextual
JT-000258;JT-000260;contextual
JT-000258;JT-000261;contextual
JT-000258;JT-000242;contextual
JT-000258;JT-000243;contextual
JT-000258;JT-000244;contextual
JT-000258;JT-000245;contextual
JT-000258;JT-000246;contextual
JT-000258;JT-000247;contextual
JT-000258;JT-000248;contextual
JT-000258;JT-000249;contextual
JT-000258;JT-000256;helper
JT-000258;JT-000257;helper
JT-000262;JT-000263;focal
JT-000262;JT-000264;contextual
JT-000262;JT-000020;contextual
JT-000262;JT-000265;contextual
JT-000262;JT-000266;contextual
JT-000262;JT-000267;contextual
JT-000262;JT-000268;contextual
JT-000262;JT-000269;contextual
JT-000262;JT-000270;helper
JT-000262;JT-000271;helper
JT-000262;JT-000272;helper
JT-000262;JT-000273;helper
JT-000274;JT-000275;focal
JT-000274;JT-000276;contextual
JT-000274;JT-000266;contextual
JT-000274;JT-000277;contextual
JT-000274;JT-000278;contextual
JT-000274;JT-000014;contextual
JT-000274;JT-000267;contextual
JT-000274;JT-000010;contextual
JT-000274;JT-000279;contextual
JT-000274;JT-000280;contextual
JT-000274;JT-000281;helper
JT-000274;JT-000282;helper
JT-000283;JT-000284;focal
JT-000283;JT-000276;contextual
JT-000283;JT-000266;contextual
JT-000283;JT-000277;contextual
JT-000283;JT-000278;contextual
JT-000283;JT-000014;contextual
JT-000283;JT-000267;contextual
JT-000283;JT-000010;contextual
JT-000283;JT-000279;contextual
JT-000283;JT-000280;contextual
JT-000283;JT-000281;helper
JT-000283;JT-000282;helper
JT-000285;JT-000286;focal
JT-000285;JT-000085;contextual
JT-000285;JT-000241;contextual
JT-000285;JT-000242;contextual
JT-000285;JT-000243;contextual
JT-000285;JT-000244;contextual
JT-000285;JT-000245;contextual
JT-000285;JT-000246;contextual
JT-000285;JT-000247;contextual
JT-000285;JT-000248;contextual
JT-000285;JT-000249;contextual
JT-000285;JT-000287;helper
JT-000285;JT-000288;helper
JT-000289;JT-000290;focal
JT-000289;JT-000291;contextual
JT-000289;JT-000241;contextual
JT-000289;JT-000242;contextual
JT-000289;JT-000243;contextual
JT-000289;JT-000244;contextual
JT-000289;JT-000245;contextual
JT-000289;JT-000246;contextual
JT-000289;JT-000247;contextual
JT-000289;JT-000248;contextual
JT-000289;JT-000249;contextual
JT-000289;JT-000287;helper
JT-000289;JT-000288;helper
JT-000292;JT-000293;focal
JT-000292;JT-000294;contextual
JT-000292;JT-000114;contextual
JT-000292;JT-000113;contextual
JT-000292;JT-000240;contextual
JT-000292;JT-000085;contextual
JT-000292;JT-000241;contextual
JT-000292;JT-000242;contextual
JT-000292;JT-000243;contextual
JT-000292;JT-000244;contextual
JT-000292;JT-000245;contextual
JT-000292;JT-000246;contextual
JT-000292;JT-000247;contextual
JT-000292;JT-000248;contextual
JT-000292;JT-000249;contextual
JT-000292;JT-000287;helper
JT-000292;JT-000288;helper
JT-000295;JT-000296;focal
JT-000295;JT-000297;contextual
JT-000295;JT-000298;contextual
JT-000295;JT-000299;contextual
JT-000295;JT-000115;contextual
JT-000295;JT-000300;contextual
JT-000295;JT-000301;helper
JT-000295;JT-000302;helper
JT-000303;JT-000304;focal
JT-000303;JT-000305;contextual
JT-000303;JT-000306;contextual
JT-000303;JT-000301;helper
JT-000303;JT-000302;helper
JT-000307;JT-000308;focal
JT-000307;JT-000309;contextual
JT-000307;JT-000310;contextual
JT-000307;JT-000200;contextual
JT-000307;JT-000311;contextual
JT-000307;JT-000312;contextual
JT-000307;JT-000313;contextual
JT-000307;JT-000314;contextual
JT-000307;JT-000315;helper
JT-000307;JT-000316;helper
JT-000317;JT-000318;focal
JT-000317;JT-000319;contextual
JT-000317;JT-000315;helper
JT-000317;JT-000316;helper
JT-000320;JT-000321;focal
JT-000320;JT-000322;helper
JT-000320;JT-000323;helper
JT-000324;JT-000325;focal
JT-000324;JT-000326;contextual
JT-000324;JT-000103;contextual
JT-000324;JT-000104;contextual
JT-000324;JT-000116;contextual
JT-000324;JT-000327;helper
JT-000324;JT-000328;helper
JT-000329;JT-000330;focal
JT-000329;JT-000331;contextual
JT-000329;JT-000200;contextual
JT-000329;JT-000129;contextual
JT-000329;JT-000061;contextual
JT-000329;JT-000332;contextual
JT-000329;JT-000136;contextual
JT-000329;JT-000029;contextual
JT-000329;JT-000333;contextual
JT-000329;JT-000334;contextual
JT-000329;JT-000335;contextual
JT-000329;JT-000336;contextual
JT-000329;JT-000337;helper
JT-000329;JT-000338;helper
JT-000329;JT-000339;helper
JT-000340;JT-000341;focal
JT-000340;JT-000342;contextual
JT-000340;JT-000321;contextual
JT-000340;JT-000343;contextual
JT-000340;JT-000344;contextual
JT-000340;JT-000345;contextual
JT-000340;JT-000338;helper
JT-000340;JT-000339;helper
JT-000346;JT-000347;focal
JT-000346;JT-000348;contextual
JT-000346;JT-000349;contextual
JT-000346;JT-000350;contextual
JT-000346;JT-000351;contextual
JT-000346;JT-000352;contextual
JT-000346;JT-000353;contextual
JT-000346;JT-000354;helper
JT-000346;JT-000355;helper
